"year"	"month"	"site"	"tmax"	"tmin"	"date"
1982	4	"Donana"	-0.94715873015873	-0.186968253968254	1982-04-01
1982	5	"Donana"	0.162127496159755	0.211436251920124	1982-05-01
1982	6	"Donana"	-0.196113821138213	0.202626016260161	1982-06-01
1982	7	"Donana"	-3.86723839496459	-1.50044059795437	1982-07-01
1982	8	"Donana"	-1.60727773406766	-0.172454760031471	1982-08-01
1982	9	"Donana"	-1.63421951219512	0.0801707317073185	1982-09-01
1982	10	"Donana"	-1.37652841781874	-2.26005376344086	1982-10-01
1982	11	"Donana"	-1.23702380952381	-0.079650793650793	1982-11-01
1982	12	"Donana"	-1.80786482334869	-2.19294162826421	1982-12-01
1983	1	"Donana"	1.47057603686636	-0.679708141321045	1983-01-01
1983	2	"Donana"	-1.46043206161993	-1.69303887351065	1983-02-01
